Country;Overallstudypopulationorsubgroup?;Positive/negativecases;End-pointvsActive;Survivors;Discharged;ContainsAnyTreatment?;ICUvs.non-ICU;Severity;Ventilation;MedianAge;HealthcareWorker;Male;WhiteorEuropean;AfricanAmerican;Asian;HispanicorLatino;Multipleethnicitiesorother;Exposurehistory();Exposure-WuhanTravel();Exposure-PersonalContact();Incubationperiod(days)-Mean;Incubationperiod(days)-Median;Incubationperiod(days)-LQ;Incubationperiod(days)-HigherQuartile;TimeFromSymptomsAppearancetoHospitalization(days)-Mean;TimeFromSymptomsAppearancetoHospitalization(days)-Median;TimeFromSymptomsAppearancetoHospitalization(days)-LQ;TimeFromSymptomsAppearancetoHospitalization(days)-UQ;Smokinghistory;Currentdrinker;BMI;Obesity;AnyComorbidity;Hypertension;Diabetes;CardiovascularDisease(incl.CAD);Chronicobstructivelung(COPD);Cancer(Any);LiverDisease(any);CerebrovascularDisease;Chronickidney/renaldisease;Other;Fever(temperature≥37·3°C);Averagetemperature(celsius);Maxtemperature(celsius);Respiratoryrate>24breathspermin;Cough;ShortnessofBreath(dyspnoea);Headache;Sputum(/Expectoration);Myalgia(MusclePain);Fatigue;Upperair-waycongestion;Diarrhoea;NauseaorVomiting;LossofAppetite/Anorexia;SoreThroat/StuffyNose;Chills;ChestPain;Lossofsmell/taste;DiseaseSeverityAsymptomatic;DiseaseSeverityGeneral;DiseaseSeveritySevere;DiseaseSeverityCritical;ImagingFindingsAvailable?(yes=1.no=0);WhiteBloodCellCount(10^9/L)-Median;WhiteBloodCellCount(10^9/L)-LQ;WhiteBloodCellCount(10^9/L)-UQ;LymphocyteCount(10^9/L)-Median;LymphocyteCount(10^9/L)-LQ;LymphocyteCount(10^9/L)-UQ;CD4+TLymphocyte(Count);CD8+TLymphocyte(Count);PlateletCount(10^9/L)-Median;PlateletCount(10^9/L)-LQ;PlateletCount(10^9/L)-UQ;NeutrophilCount(10^9/L)-Median;NeutrophilCount(10^9/L)-LQ;NeutrophilCount(10^9/L)-UQ;Hemoglobin(g/L)-Median;Hemoglobin(g/L)-LQ;Hemoglobin(g/L)-UQ;Hematocrit();Albumin(g/L);AlanineAminotransferase(U/L);AspartateAminotransferase(U/L);TotalBilirubin(umol/L)-Median;TotalBilirubin(umol/L)-LQ;TotalBilirubin(umol/L)-UQ;BloodUreaNitrogen(mmol/L);Creatinine(μmol/L);CreatineKinase(U/L);C-ReactiveProtein(mg/L);Gamma-GlutamylTransferase(U/L);Interleukin-6(pg/mL);Procalcitonin(ng/mL);D-Dimer(mg/L);ProthrombinTime(s);Antibiotic;Antiviral(Any);UsesKaletra(lopinavir–ritonavir);UsesFavipiravir;UsesTamiflu(oseltamivir);UsesRemdesivir;Usesumif+lop-rit;UsesArbidol(umifenovir);Useshydroxychloroquineand/orchloroquine;Corticosteroid(includingGlucocorticoid.Methylprednisolone);Intravenousimmunoglobin;Nasalcannula;High-flownasalcannulaoxygentherapy;Oxygentherapy;Noninvasivemechanicalventilation;Invasivemechanicalventilation;ECMO;Renalreplacementtherapy;InterferonAlpha-1b;Thymalfasinand/orThymosin;Sepsis;RespiratoryfailureorARDS;Respiratoryfailure;ARDS;Hypoxemia;Heartfailure;Septicshock/shock;Liverdysfunction;Coagulopathy;Acutecardiacinjury;Acutekidneyinjury(AKI);Secondaryinfection/Bacterialinfection;Hypoproteinaemia;Acidosis;Hospitaladmission();ICUadmission;Discharged();ICUlengthofstay.days;Hospitallengthofstay.days;DaystoViralClearance(Median);Mortality;ProjectedMortality(accountingforpatientsnotcurrentlydischarged)
China;2;4;3;1;3;1;0;5;0;50;0;0.4066;0;0;1;0;0;0.989;0.3407;0.0879;;6;;;;;;;;;;;;0.1648;0.0879;;;;;;;;0.7143;;;;0.6044;0.033;0.0769;0.3297;0.0549;0.4396;;0.2308;0.0659;0.2527;;;;;;0.901;0.099;;1.0000;4.99;4.25;5.69;1.35;0.98;1.66;;;196;142;238;2.91;;;135;125;145;;40;18;21;;;;3.95;66;;6.81;;;0.02;0.3;;;1;1;0;0;;1;1;0;0.0989;;;;;;;;;;;;;;;;;;;;;;;;;1;0.1;0.34;;;;0;0
China;1;4;3;1;3;0;0;7;0;66;0;;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1.0000;5.23;3;5.82;0.9;0.7;1.3;;;152;127;208;3.32;;;130;118;142;;;19.9;27;;;;5.19;81.5;;30.63;;;0;0.45;;;1;1;0;0;;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;;na;;;;0;
China;1;4;3;1;3;0;0;2;0;49;0;;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;1.0000;4.97;4.02;5.65;1.4;1.05;1.75;;;198;144;248;2.8;;;135;126;147;;;18;21;;;;3.83;66;;5.98;;;0.03;0.3;;;1;1;0;0;;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;;na;;;;0;
China;2;4;3;2;3;1;2;5;3;41;;0.565;0;0;1;0;0;0.37;0.37;0.339;4;4;3;5;2;2;1;4.3;;;;;0.323;0.081;0.016;;0.016;;0.113;0.016;0.016;;0.77;;;0.03;0.81;0.03;0.34;0.565;0.52;0.52;;0.08;;;;;;;;;;;1.0000;4.7;3.5;5.8;1;0.8;1.5;;;176;135.8;215.5;2.9;;;137;128.8;152.3;;;22;26;;;;;72;69;;;;0.04;0.2;;0.452;0.887;0.742;0;0;;0.339;0.355;0;0.26;0;;;;0;0.0161;;0;0.42;0;;;;0.02;;;;;;;;;;;0.98;0.02;0.02;;;;0;
China;1;4;3;2;3;1;2;5;3;45;;0.576;0;0;1;0;0;0.27;0.27;0.273;3;3;3;4;6.5;6.5;5;9;;;;;0.394;0.121;0.03;;0.03;;0.121;0.03;0;;0.73;;;0.03;0.82;0.06;0.45;0.576;0.58;0.58;;0.09;;;;;;;;;;;1.0000;4.5;3.1;6.1;1;0.7;1.4;;;172.5;128.8;202.8;2.8;;;137.5;129;149.5;;;22.5;27.5;;;;;71.5;60;;;;0.04;0.2;;0.485;0.939;0.81;0;0;;0.515;0.515;0;0.33;0;;;;0;0.03;;0;0.33;0;;;;0.03;;;;;;;;;;;0.97;0.03;0.03;;;;0;
China;1;4;5;2;5;1;2;5;3;39;;0.552;0;0;1;0;0;0.48;0.48;0.414;5;5;4;7;2;2;1;2;;;;;0.241;0.034;0;;0;;0.103;0;0.034;;0.83;;;0.03;0.79;0;0.21;0.552;0.45;0.45;;0;;;;;;;;;;;1.0000;4.9;3.9;5.7;1;0.9;1.5;;;186;149;228;2.9;;;136.5;127.3;153.8;;;22;25;;;;;71.4;71.4;;;;0.04;0.2;;0.414;0.828;0.65;0;0;;0.138;0.172;0;0.17;0;;;;0;0;;0;0.51;0;;;;0;;;;;;;;;;;1;0;0;;;;0;
China;2;4;3;2;3;1;3;5;0;;;0.4903;0;0;1;0;0;;;;;;;;;;;;;;;;0.1224;0.1633;0.1428;0.1428;0.0206;0;0.0812;;0.0812;0.102;;;;;;;;;;;;;;;;;;;;;0.3263;;;5.24;;;1.67;;;;;196.12;;;;;;;;;;;;;9.33;;;;;;;;;;;;0.6128;1;1;0;0;;0;0;0;0.184;0.7148;;0.3263;;;0;;;;;;;;;;;;;;;;;;;1;;;;;;0;
China;1;4;3;2;3;1;3;5;0;;;0.438;0;0;1;0;0;;;;;;;;;;;;;;;;0.125;0.188;0.125;0.125;0;0;0.062;;0.062;0.125;;;;;;;;;;;;;;;;;;;;;0.312;;0.0000;5.34;3.52;7.16;1.83;1.01;2.65;;;194.8;139.7;249.9;;;;;;;;;;;9.23;4.26;14.2;;;;;;;;;;0.563;1;1;0;0;;0;0;0;0.062;0.688;;0.312;;;0;;;;;;;;;;;;;;;;;;;1;;0.94;;;;0;0
China;1;4;3;2;3;1;3;5;0;;;0.588;0;0;1;0;0;;;;;;;;;;;;;;;;0.1176;0.117;0.176;0.176;0.059;0;0.117;;0.117;0.059;;;;;;;;;;;;;;;;;;;;;0.353;;0.0000;5.04;3.96;6.12;1.36;0.84;1.88;;;198.6;121.4;275.8;;;;;;;;;;;9.51;4.65;14.37;;;;;;;;;;0.706;1;1;0;0;;0;0;0;0.412;0.765;;0.353;;;0;;;;;;;;;;;;;;;;;;;1;;0.53;;;;0;0
China;2;4;3;2;3;1;2;5;0;;;0.526;0;0;1;0;0;0.8984;0.35;0.415;6.91;6.91;;;;4.23;;;0.0403;0.0484;;;;0.1548;0.0645;0.021;;0.011;0.005;;0.006;0.01;0.6597;37.0500;;;0.5532;0.0258;;0.2661;;;;0.0856;;0.019;;;;;0.1565;0.7581;0.053;0.032;0.0000;5.21;3.24;7.18;1.36;0.72;2;616.07;427.15;190.47;127.4;253.54;3.36;1.6;5.16;135.33;115.86;154.8;0.4;41.25;31.03;32.26;10.59;3.94;17.24;4.19;67.91;127.44;21.25;;0.32;;0.52;12.44;0.5355;0.929;;;;;;;;0.229;0.252;0.348;0.029;;0.053;0.008;0;0;0.81;0.231;;;0.0855;;;;0.0032;;;;;;;;1;0.03;0.41;;;;0;0
China;1;4;3;2;3;1;1;2;1;;;0.454;0;0;1;0;0;0.969;0.247;0.598;4.49;4.49;;;;4.38;;;0.062;0.0520;;;;0.113;0.093;0.031;;0;0;;0;0.029;0.237;36.7700;;;0.299;0.01;;0.124;;;;0.041;;0.01;;;;;1;0;0;0;0.0000;5.68;3.8;7.56;1.76;1.04;2.48;805.05;656.73;218.88;142.36;295.4;3.38;1.96;4.8;136.26;118.06;154.46;0.41;43.46;26.78;27.31;11.78;3.73;19.83;4.47;64.57;173.73;8.94;;0.39;;0.52;12.29;0.155;0.856;;;;;;;;0.072;0.093;0.165;0;;0;0;0;0;0.907;0.113;;;0;;;;0;;;;;;;;1;0;0.36;;;;0;0
China;1;4;3;2;3;1;1;2;3;;;0.526;0;0;1;0;0;0.889;0.366;0.394;5.1;5.1;;;;4.19;;;0.04;0.0410;;;;0.143;0.049;0.013;;0.013;0.004;;0.006;0.057;0.726;37.0900;;;0.589;0.027;;0.247;;;;0.092;;0.023;;;;;0;1;0;0;0.0000;5.07;3.35;6.79;1.35;0.78;1.92;594.17;385.96;186.82;129.11;244.53;3.26;1.74;4.78;135.55;115.62;155.48;0.4;41.07;31.19;32.32;10.19;3.98;16.4;4.07;68.03;120.52;20.25;;0.33;;0.46;12.44;0.568;0.936;;;;;;;;0.189;0.23;0.34;0.009;;0.013;0;0;0;0.802;0.213;;;0;;;;0;;;;;;;;1;0.02;0.44;;;;0;0
China;1;4;3;2;3;1;4;7;3;;;0.66;0;0;1;0;0;0.849;0.396;0.264;4.44;4.44;;;;4.42;;;0;0.0190;;;;0.34;0.151;0.075;;0.019;0.019;;0.019;0.048;0.849;37.2000;;;0.698;0.113;;0.415;;;;0.113;;0;;;;;0;0;0.6226;0.3774;0.0000;5.46;1.89;9.03;0.7;0.38;1.02;364.5;231;160.95;104.91;216.99;4.19;0.59;7.79;131.24;113.51;148.97;0.39;38.13;39.32;42.86;11.73;4.68;18.78;4.78;73.71;90.09;58.09;;0.04;;1.09;12.7;0.943;1;;;;;;;;0.868;0.736;0.755;0.264;;0.509;0.094;0;0;0.698;0.604;;;1;;;;0.038;;;;;;;;1;0.19;0.17;;;;0;0
China;2;4;3;2;3;1;2;5;3;47;;0.581;0;0;1;0;0;;0.313;;;4;2;7;;;1;;0.126;;;;;0.15;0.074;0.025;0.011;0.009;;0.014;0.007;;0.887;;38.3;;0.678;0.187;0.136;0.337;0.149;0.381;0.048;0.038;0.05;;0.139;0.115;;;;0.843;0.157;;;4.7;3.5;6;1;0.7;1.3;;;168;132;207;;;;134;119;148;;;;;;;;;;;;;;;;;0.58;0.358;0;0;0.358;;0;0;0;0.186;0.131;;0.413;;0.051;0.023;0.005;0.008;;;;;;0.034;;;0.011;;;;0.005;;;;1;0.05;0.05;;12;;0.01;0.22
China;1;4;3;2;3;1;2;2;1;45;;0.582;0;0;1;0;0;;0.316;;;4;2.8;7;;;;;0.118;;;;;0.134;0.057;0.018;0.006;0.008;;0.012;0.005;;0.881;;38.3;;0.673;0.151;0.134;0.334;0.145;0.378;0.051;0.035;0.046;;0.14;0.108;;;;;;;;4.9;3.8;6;1;0.8;1.4;;;172;139;212;;;;135;120;148;;;;;;;;;;;;;;;;;0.538;0.338;0;0;0.338;;0;0;0;0.137;0.093;;0.357;;0;0;0;0;;;;;;0.011;;;0.001;;;;0.001;;;;1;0.02;0.05;;11;;0;0.02
China;1;4;3;2;3;1;2;7;3;52;;0.578;0;0;1;0;0;;0.3;;;4;2;7;;;;;0.169;;;;;0.237;0.162;0.058;0.035;0.017;;0.023;0.017;;0.92;;38.5;;0.705;0.376;0.15;0.353;0.173;0.399;0.035;0.058;0.069;;0.133;0.15;;;;;;;;3.7;3;6.2;0.8;0.6;1;;;137.5;99;179.5;;;;128;112;141;;;;;;;;;;;;;;;;;0.803;0.462;0;0;0.462;;0;0;0;0.445;0.335;;0.711;;0.324;0.145;0.029;0.052;;;;;;0.156;;;0.064;;;;0.029;;;;1;0.19;0.03;;13;;0.08;0.74
China;1;2;3;2;3;1;2;5;3;63;;0.672;0;0;1;0;0;;0.357;;;4;1;7.5;;;;;0.258;;;;;0.358;0.269;0.09;0.104;0.015;;0.06;0.03;;0.881;;38.5;;0.687;0.537;0.12;0.299;0.09;0.328;0.03;0.06;0.045;;0.09;0.119;;;;;;;;6.1;4.9;11.1;0.7;0.6;0.9;;;156.5;114.2;195;;;;125;105;140;;;;;;;;;;;;;;;;;0.896;0.537;0;0;0.537;;0;0;0;0.522;0.403;;0.881;;0.433;0.373;0.075;0.119;;;;;;0.403;;;0.134;;;;0.403;;;;1;0.82;0.02;;14.5;;0.22;0.94
China;1;2;3;1;3;1;1;5;3;46;;0.575;0;0;1;0;0;;0.311;;;4;2;7;;;;;0.118;;;;;0.137;0.061;0.02;0.005;0.009;;0.011;0.006;;0.888;;38.3;;0.677;0.164;0.14;0.339;0.153;0.385;0.049;0.037;0.05;;0.142;0.114;;;;;;;;4.7;3.5;5.9;1;0.7;1.3;;;169;133;207;;;;134;120;148;;;;;;;;;;;;;;;;;0.559;0.346;0;0;0.346;;0;0;0;0.164;0.113;;0.383;;0.026;0;0;0.001;;;;;;0.01;;;0.003;;;;0.01;;;;1;0;0.05;;12;;0;0
China;2;4;3;2;3;1;2;5;3;49;;0.73;0;0;1;0;0;0.66;0.66;;;;;;;7;4;8;0.07;;;;0.32;0.15;0.2;0.15;0.02;0.02;0.02;;;0.02;0.98;;;0.29;0.76;0.55;;0.28;0.44;0.44;;0.03;;;;;;;;;;;1.0000;6.2;4.1;10.5;0.8;0.6;1.1;;;164.5;131.5;263;5;;;126;118;140;;31.4;32;34;11.7;9.5;13.9;;74.2;132.5;;;;0.1;0.5;11.1;1;0.93;0;0;0.93;;0;0;0;0.22;;0.66;0.24;;0.24;0.05;0.05;0.07;;;;0.29;;0.29;;0.12;;;;;0.07;0.1;;;1;0.32;0.68;;;;0.15;0.18
China;1;4;3;2;3;1;4;5;3;49;;0.85;0;0;1;0;0;0.69;0.69;;;;;;;7;4;8;0;;;;0.38;0.15;0.08;0.23;0.08;0;0;;;0;1;;;0.62;0.85;0.92;;0.38;0.54;0.54;;0;;;;;;;;;;;1.0000;11.3;5.8;12.1;0.4;0.2;0.8;;;196;165;263;10.6;;;122;111;128;;27.9;49;44;14;11.9;32.9;;79;132;;;;0.1;2.4;12.2;1;0.92;0;0;0.92;;0;0;0;0.46;;0.08;0.62;;0.62;0.15;0.15;0.23;;;;0.85;;0.85;;0.31;;;;;0.23;0.31;;;1;1;0.54;;;;0.38;0.41
China;1;4;3;2;3;1;1;5;3;49;;0.68;0;0;1;0;0;0.64;0.64;;;;;;;7;4;8.5;0.11;;;;0.29;0.14;0.25;0.11;0;0.04;0.04;;;0.04;0.96;;;0.14;0.71;0.37;;0.23;0.39;0.39;;0.04;;;;;;;;;;;1.0000;5.7;3.1;7.6;1;0.7;1.1;;;149;131;263;4.4;;;130.5;120;140;;34.7;27;34;10.8;9.4;12.3;;73.3;133;;;;0.1;0.5;10.7;1;0.93;0;0;0.93;;0;0;0;0.11;;0.93;0.07;;0.07;0;0;0;;;;0.04;;0.04;;0.04;;;;;0;0;;;1;0;0.75;;;;0.04;0.05
China;2;4;3;2;3;1;2;5;3;;;0.68;0;0;1;0;0;0.49;;;;;;;;;;;;;;;0.33;;0.12;;0.01;0.01;;;;0.17;0.83;;;;0.82;0.31;0.08;;0.11;;;0.02;0.01;;0.05;;;;;;;;1.0000;7.5;3.9;11.1;0.9;0.4;1.4;;;213.5;;;5;;;129.8;111.5;144.6;;31.6;39;34;15.1;7.8;22.4;5.9;75.6;85;51.4;;7.9;0.5;0.9;11.3;0.71;0.76;0.76;0;0.76;;0;0;0;0.19;0.27;0.76;;;0.13;0.04;0.03;0.09;0;0;;;;0.17;;;0.04;;;;0.03;;;;1;0.23;0.31;;;;0.11;0.26
China;1;4;5;2;5;2;3;7;0;63;;0.4615;0;0;1;0;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;1;;;;;;;;;;;;;;;;0;1;0;0.0000;5.93;4.77;7.45;;;;;;;;;;;;;;;;;34;32;;;;;64.2;88;18.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;na;;;;;
China;1;4;5;2;5;2;3;7;0;67;;0.625;0;0;1;0;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;1;;;;;;;;;;;;;;;;0;0;1;0.0000;9.32;6.37;10.99;;;;;;;;;;;;;;;;;49;44;;;;;82.6;199;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;na;;;;;
China;2;4;3;2;3;1;2;5;3;56;0.29;0.543;0;0;1;0;0;0.087;0.087;;;;;;7;7;4;8;;;;;0.464;0.312;0.101;0.145;0.029;0.072;0.029;0.051;0.029;0.014;0.986;;;;0.594;0.312;0.065;0.268;0.348;0.696;;0.101;0.101;0.399;;;;;0;0.26;0;0.2608;1.0000;4.5;3.3;6.2;0.8;0.6;1.1;;;163;121;191;3;2;4.9;;;;;;24;31;9.8;8.4;14.1;4.4;72;92;;;;49;203;13;0.644;0.899;0;0;0.899;;0;0;0;0.449;0;0.7681;;;0.109;0.1232;0.029;0.0145;;;;0.196;;0.196;;;0.087;;;0.072;0.036;;;;1;0.26;0.34;10;10;;0.04;0.11
China;1;4;3;1;3;1;4;5;3;66;0.028;0.611;0;0;1;0;0;0.139;0.139;;;;;;8;8;4.5;10;;;;;0.722;0.583;0.222;0.25;0.083;0.111;0;0.167;0.056;0;1;;;;0.583;0.639;0.083;0.222;0.333;0.806;;0.167;0.111;0.667;;;;;0;0;0;0;1.0000;6.6;3.6;9.8;0.8;0.5;0.9;;;142;119;202;4.6;2.6;7.9;;;;;;35;52;11.5;9.6;18.6;5.9;80;102;;;;27;414;13.2;;0.944;0;0;0.944;;0;0;0;0.722;0;0.1111;;;0.42;0.47;0.111;0.0556;;;;0.611;;0.611;;;0.306;;;0.222;0.083;;;;1;1;0.25;10;;;0.17;0.4
China;1;4;3;2;3;1;1;7;1;51;0.382;0.52;0;0;1;0;0;0.069;0.069;;;;;;6;6;3;7;;;;;0.373;0.216;0.059;0.108;0.01;0.059;0.04;0.01;0.02;0.02;0.98;;;;0.598;0.196;0.059;0.284;0.353;0.657;;0.078;0.098;0.304;;;;;0;1;0;1;1.0000;4.3;3.3;5.4;0.9;0.6;1.2;;;165;125;188;2.7;1.9;3.9;;;;;;23;39;9.3;8.2;12.8;4;71;87;;;;22;166;12.9;;0.882;0;0;0.882;;0;0;0;0.353;0;1;;;0;0;0;0;;;;0.049;;0.049;;;0.01;;;0.02;0.02;;;;1;0;0.37;;10;;0;0
China;2;4;5;1;3;2;3;2;0;34;;0.77;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.9231;;38.4;;0.463;;0.231;;0.231;;0.615;0.077;;;;;;;;;0;0;0.0000;5.83;3.51;8.15;1.58;0.93;2.23;;;199;126.5;271.5;3.67;;;147;134.9;159.1;43.2;;;;;;;;;;14.7;;;0.19;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;1;;na;;;;0;
China;2;4;5;1;1;2;3;2;0;;;0.49;0;0;1;0;0;0.98;;;;;;;;4;;;0.07;;;;0.22;0.1;0.06;0.02;0;0;0.02;;0;0.04;0.96;;;;0.47;0.14;0.16;;0.165;0.165;;0.1;0.06;;;;;;;0;0;0;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;na;;;;;
China;2;4;3;2;3;1;2;5;3;47;;0.534;0;0;1;0;0;0.889;;0.17;;;;;;;;;0.067;;;;0.319;0.096;0.089;0.052;0;0.03;0.015;;;;0.889;;;;0.765;0.133;0.325;0.088;0.325;0.325;;0.133;0.03;;;;;;;0.7;0.3;;1.0000;5.4;4.1;7.8;1.1;0.7;1.5;;;158;131;230;3.5;;;133;122;147;;40.5;26;33.4;8.6;5.9;13.7;;66;82.2;10.5;;;0.11;0.4;;0.437;1;1;0;0;;0;0;0;0.267;;;;;0.252;0.007;0;0.037;1;;;;;0.156;;;0.007;;;0.074;0.037;0.052;;;0.89;;0.11;;;;0.01;0.06
China;1;4;3;1;3;1;1;2;3;44;;0.547;0;0;1;0;0;0.905;;0.189;;;;;;;;;0.084;;;;0.163;0.094;0.031;0.01;0;0.01;0.01;;;;0.901;;;;0.705;0.095;0.242;0.053;0.263;0.263;;0.053;0.042;;;;;;;;;;1.0000;5.5;4;8;1.2;0.8;1.6;;;170;136;234;3.6;;;134;124;147;;49.9;21.7;22.4;8.6;5.6;14;;66;57;7.7;;;0.04;0.3;;0.25;1;1;0;0;;0;0;0;0.158;;;;;0.074;0;0;0.01;1;;;;;0.011;;;0;;;0.084;0.04;0;;;0.9;;0.11;;;;0;0
China;1;4;3;2;3;1;4;7;3;56;;0.525;0;0;1;0;0;0.85;;0.125;;;;;;;;;0.025;;;;0.7;0.1;0.225;0.15;0.1;0.075;0.025;;;;0.85;;;;0.875;0.189;0.275;0.175;0.475;0.475;;0.325;0;;;;;;;;;;1.0000;5.2;4.9;6.9;0.8;0.6;1;;;147;118;213;4.1;;;130;130;143;;36;26.6;33.6;9.8;7.8;15.6;;63.5;82;91;;;0.11;0.6;;0.875;1;1;0;0;;0;0;0;0.525;;;;;0.675;0.025;0;0.1;1;;;;;0.5;;;0.025;;;0.05;0.025;0.025;;;0.88;;0.13;;;;0.03;0.17
China;2;4;3;1;3;2;3;5;0;;;0.53;0;0;1;0;0;0.65;;;;;;;;;;;0.18;0.1800;25;;0.18;0.06;0;0;0;0;;;0;0.18;0.71;;;;0.77;;;0.176;0.24;0.47;;0.12;;;;;;;;;;;1.0000;6.2;3.7;8.7;1.1;0.6;1.6;;;227.1;115.5;338.7;4.6;1.8;7.4;140.5;127.4;153.6;;;;;17.7;4.2;31.2;;65.8;114.9;32.1;;;0.06;217.4;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;0.29;;8.4;;0;0
China;1;4;1;1;1;2;3;5;0;;;0.8;0;0;1;0;0;1;;;;;;;;;;;0.4;0.2000;24.1;;0.4;0;0;0;0;0;;;0;0.4;0.8;;;;0.6;;;0;0.6;0.6;;0;;;;;;;;;;;1.0000;6.3;4.8;7.8;1.7;1.3;2.1;;;295;149.3;440.7;3.9;2.3;5.5;146.3;139.6;153;;;;;12.2;7.4;17;;70.5;93.3;28.6;;;0.05;105.7;11.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;8.6;;0;0
China;1;4;5;1;5;2;3;5;0;;;0.417;0;0;1;0;0;0.5;;;;;;;;;;;0.083;0.1670;25.3;;0.083;0.083;0;0;0;0;;;0;0.083;0.667;;;;0.833;;;0.25;0.167;0.417;;0.167;;;;;;;;;;;1.0000;6.1;3.2;9;0.9;0.5;1.3;;;202;109.5;294.5;4.9;1.7;8.1;138.5;124.1;152.9;;;;;19.3;4.5;34.1;;64.1;122.7;33.4;;;0.07;250.9;11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;0;;;;0;
China;2;2;3;2;3;1;2;5;0;;;0.687;0;0;1;0;0;;;;;;;;;;;;;;;;;0.667;0.208;0.271;;;;;0.104;0.146;0.708;;;;;;;;;;;;;;;;;;;0.542;0.458;;0.0000;6.49;4.15;8.83;0.99;0.62;1.31;;;167;116;217.5;4.6;;;122.92;101.9;143.94;;;21;32;;;;;80;85;43.2;;;;0.63;;0.958;0.979;;;;;;;;0.458;0.125;0.604;;;0.375;0.021;;;;;;;;;;;;;;;;;;;1;;0.65;;;;0.35;0.35
China;1;4;1;3;1;1;2;7;0;;;0.706;0;0;1;0;0;;;;;;;;;;;;;;;;;0.706;0.294;0.235;;;;;0.294;0.176;0.706;;;;;;;;;;;;;;;;;;;0.235;0.765;;0.0000;8.84;5.46;9.67;0.92;0.51;1.29;;;119;88.5;212.5;3.9;;;111.35;87.39;135.31;;;19;33;;;;;96;104.5;65.5;;;;2.3;;1;1;;;;;;;;0.471;0.235;0.118;;;0.824;0.059;;;;;;;;;;;;;;;;;;;1;;0;;;;1;1
China;1;2;3;1;3;1;2;5;0;;;0.677;0;0;1;0;0;;;;;;;;;;;;;;;;;0.645;0.161;0.29;;;;;0;0.129;0.71;;;;;;;;;;;;;;;;;;;0.71;0.29;;0.0000;5.74;4.14;7.39;1.08;0.66;1.33;;;181;146;220;4.9;;;29.26;112.86;145.66;;;23;32;;;;;79;83;23.8;;;;0.57;;0.935;0.968;;;;;;;;0.452;0.065;0.871;;;0.129;0;;;;;;;;;;;;;;;;;;;1;;na;;;;0;
USA;2;4;3;2;3;1;4;5;0;;;0.52;;;;;;;;;;;;;;;;;;;;;0.86;;0.333;;0.333;;;;0.476;0.429;0.52;37.6000;39.2;;0.48;0.76;;;;;;;;;;;;;;;;;1.0000;9.37;;;0.89;;;;;215;;;;;;114;;;;;26.5;34;;;;;;95;;;;;;;;;;;;;;;;;;;0.048;;0.19;0.71;;;;;;;;;;;;0.143;;;0.191;0.191;;;1;1;0.1;;;;0.67;0.88
Singapore;2;4;3;1;3;1;2;5;3;47;0;0.5;0;0;1;0;0;1;1;;;;;;;;;;;;;;0.28;0.28;0.11;;;;;;;;0.72;37.7000;39.6;;0.83;0.11;;;;;;0.17;0.222;;0.61;;;;;;;;1.0000;4.6;1.7;6.3;1.2;0.8;1.7;;;159;116;217;2.7;;;135;11.7;17.2;;;;;;;;;;;16.3;;;;;;0.2778;0.2778;0.2778;0;0.2778;;0;0;0;0;;;;0.33;0.06;;;;;;;;;;;;;;;;;;;;1;0.11;1;0.67;18;12.5;0;0
Singapore;1;4;3;1;3;1;2;5;3;37;0;0.58;0;0;1;0;0;1;1;;;;;;;;;;;;;;0.08;0.08;0.083;;;;;;;;0.58;38.3000;39.6;;0.83;0.08;;;;;;0.25;;;0.67;;;;;;;;1.0000;4.6;1.7;6.3;1.2;0.8;1.6;;;159;128;213;2.8;;;139;11.7;17.2;;;;;;;;;;;11.1;;;;;;0;0;0;0;0;;0;0;0;0;;;;0;0.06;;;;;;;;;;;;;;;;;;;;1;0;1;0;19.5;14.5;0;0
