Country;Overallstudypopulationorsubgroup?;Positive/negativecases;End-pointvsActive;Survivors;Discharged;ContainsAnyTreatment?;ICUvs.non-ICU;Severity;Ventilation;MedianAge;HealthcareWorker;Male;WhiteorEuropean;AfricanAmerican;Asian;HispanicorLatino;Multipleethnicitiesorother;Exposurehistory();Exposure-WuhanTravel();Exposure-PersonalContact();Incubationperiod(days)-Mean;Incubationperiod(days)-Median;Incubationperiod(days)-LQ;Incubationperiod(days)-HigherQuartile;TimeFromSymptomsAppearancetoHospitalization(days)-Mean;TimeFromSymptomsAppearancetoHospitalization(days)-Median;TimeFromSymptomsAppearancetoHospitalization(days)-LQ;TimeFromSymptomsAppearancetoHospitalization(days)-UQ;Smokinghistory;Currentdrinker;BMI;Obesity;AnyComorbidity;Hypertension;Diabetes;CardiovascularDisease(incl.CAD);Chronicobstructivelung(COPD);Cancer(Any);LiverDisease(any);CerebrovascularDisease;Chronickidney/renaldisease;Other;Fever(temperature≥37·3°C);Averagetemperature(celsius);Maxtemperature(celsius);Respiratoryrate>24breathspermin;Cough;ShortnessofBreath(dyspnoea);Headache;Sputum(/Expectoration);Myalgia(MusclePain);Fatigue;Upperair-waycongestion;Diarrhoea;NauseaorVomiting;LossofAppetite/Anorexia;SoreThroat/StuffyNose;Chills;ChestPain;Lossofsmell/taste;DiseaseSeverityAsymptomatic;DiseaseSeverityGeneral;DiseaseSeveritySevere;DiseaseSeverityCritical;ImagingFindingsAvailable?(yes=1.no=0);WhiteBloodCellCount(10^9/L)-Median;WhiteBloodCellCount(10^9/L)-LQ;WhiteBloodCellCount(10^9/L)-UQ;LymphocyteCount(10^9/L)-Median;LymphocyteCount(10^9/L)-LQ;LymphocyteCount(10^9/L)-UQ;CD4+TLymphocyte(Count);CD8+TLymphocyte(Count);PlateletCount(10^9/L)-Median;PlateletCount(10^9/L)-LQ;PlateletCount(10^9/L)-UQ;NeutrophilCount(10^9/L)-Median;NeutrophilCount(10^9/L)-LQ;NeutrophilCount(10^9/L)-UQ;Hemoglobin(g/L)-Median;Hemoglobin(g/L)-LQ;Hemoglobin(g/L)-UQ;Hematocrit();Albumin(g/L);AlanineAminotransferase(U/L);AspartateAminotransferase(U/L);TotalBilirubin(umol/L)-Median;TotalBilirubin(umol/L)-LQ;TotalBilirubin(umol/L)-UQ;BloodUreaNitrogen(mmol/L);Creatinine(μmol/L);CreatineKinase(U/L);C-ReactiveProtein(mg/L);Gamma-GlutamylTransferase(U/L);Interleukin-6(pg/mL);Procalcitonin(ng/mL);D-Dimer(mg/L);ProthrombinTime(s);Antibiotic;Antiviral(Any);UsesKaletra(lopinavir–ritonavir);UsesFavipiravir;UsesTamiflu(oseltamivir);UsesRemdesivir;Usesumif+lop-rit;UsesArbidol(umifenovir);Useshydroxychloroquineand/orchloroquine;Corticosteroid(includingGlucocorticoid.Methylprednisolone);Intravenousimmunoglobin;Nasalcannula;High-flownasalcannulaoxygentherapy;Oxygentherapy;Noninvasivemechanicalventilation;Invasivemechanicalventilation;ECMO;Renalreplacementtherapy;InterferonAlpha-1b;Thymalfasinand/orThymosin;Sepsis;RespiratoryfailureorARDS;Respiratoryfailure;ARDS;Hypoxemia;Heartfailure;Septicshock/shock;Liverdysfunction;Coagulopathy;Acutecardiacinjury;Acutekidneyinjury(AKI);Secondaryinfection/Bacterialinfection;Hypoproteinaemia;Acidosis;Hospitaladmission();ICUadmission;Discharged();ICUlengthofstay.days;Hospitallengthofstay.days;DaystoViralClearance(Median);Mortality;ProjectedMortality(accountingforpatientsnotcurrentlydischarged)
China;1;4;3;2;3;2;2;5;3;;;0.47;0;0;1;0;0;0.6;0.6;;;;;;;;;;;;;;0.2;0.13;0.13;0.07;0.13;0;0.13;0.07;0;0.2;0.93;;38.5;;0.8;0.8;0.07;0.4;0.13;0.13;;0.07;0;0;;;;;0;;;;1.0000;8.2;4;12.4;1.1;0.8;1.4;;;230.5;95.7;365.3;;;;124.8;115.7;133.9;;;50.6;37.8;na;na;na;;58.4;;49.8;;;;;10.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;0.07;
China;2;4;3;1;3;1;1;2;3;;0;0.544;0;0;1;0;0;0.899;0.5369;0.3289;;;;;6.83;6.83;1.83;11.83;;;23.75;;0.349;;;;;0.0134;;0.1879;;;0.765;37.8600;;;0.584;0.0134;0.0872;0.322;0.0336;;;0.0738;0.0134;;0.1409;0.1409;;;;;;;;4.56;2.08;6.64;1.21;0.53;1.89;;;174.5;96.25;252.75;2.6;0.57;4.63;;;;;41.65;20;23;9.9;3.95;15.85;3.8;66.07;76.5;7.25;5.83;;;0.22;12.2;0.2282;0.9396;;;;;;;;0.0336;0.1275;;0.8993;0.8993;0.0134;0;0;0.0336;;;;;;;;;;;;;;;;;1;0;0.49;;;;0;0
China;2;4;1;2;1;2;3;2;3;40;;0.29;0;0;1;0;0;;;;;;;;;6;5;7;;;;;;;;;;;;;;;0.86;;;;0.57;;;;0.24;0.52;;;;0.43;;0.29;;;;0;0;0;1.0000;4.9;4.1;5.7;1.4;1;1.8;;;;;;3.1;;;;;;;;42;32;;;;;;;17.2;;;;0.93;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;1;;1;;17;;0;0
China;2;4;3;2;3;2;3;5;0;52;0.026;0.4416;0;0;1;0;0;0.896;0.701;0.195;4;4;3.5;6;5;5;3;6;;;;;0.312;0.208;0.078;0.117;0.0779;0.052;;0.026;0.065;;0.857;;;;0.6364;0.208;0.13;;0.273;0.273;;0.013;0.0779;0.091;0.065;;;;0;0.2597;;;1.0000;4.04;3.48;5.58;;;;;;190;149;245;;;;137;125;145;;;28;29;;;;;64;80;17;;;0.12;;12.7;;;;;;;;;;;;;;;;;;;;;;;;0.039;;0.026;0.013;0.3247;;;0.026;0.039;;;1;;0.83;;13;;0.06;0.07
China;1;4;3;2;3;2;3;2;0;45;0.035;0.404;0;0;1;0;0;0.912;0.772;0.14;5;5;3.5;6;5;5;4;6;;;;;0.246;0.14;0.07;0.053;0.053;0.053;;0.018;0.035;;0.825;;;;0.579;0.14;0.175;;0.333;0.333;;0.018;0.053;0.07;0.09;;;;0;0;0;0;1.0000;3.95;3.45;4.64;;;;;;189;152;245;;;;139;127;144;;;28;28;;;;;63;67;13;;;0.1;;12.7;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0.333;;;0.018;0;;;1;;0.93;;12;;0;0
China;1;4;3;2;3;2;3;7;0;69;0;0.55;0;0;1;0;0;0.85;0.5;0.35;3.5;3.5;3;4;6;6;5;7;;;;;0.5;0.4;0.1;0.3;0.15;0.05;;0.05;0.15;;0.95;;;;0.8;0.4;0;;0.1;0.1;;0;0.15;0.15;0;;;;0;1;;;1.0000;5.92;3.68;7.59;;;;;;198;134;272;;;;137;119;148;;;32;36;;;;;68;115;55;;;0.13;;12.7;;;;;;;;;;;;;;;;;;;;;;;;0.15;;0.1;0.05;0.3;;;0.05;0.15;;;1;;0.5;;18.5;;0.25;0.33
China;2;4;3;2;3;1;4;7;5;694;;0.833;0;0;1;0;0;;;;;;;;;;;;;;;;;0.389;0.278;0.333;0.194;0.056;;5.6;;0.083;;;;;;1;;;;;;;;;;;;;;;0;1;0.0000;14;6.9;21.1;0.6;0.3;0.9;;;156;99.8;213;12.7;6;19.4;122.4;104.3;140.5;;;34.5;30.5;;;;10.7;83.5;;;;;;;;0.944;;0.278;0;0;;0.278;0.778;0.083;0.806;0.806;;;;0;1;;0.611;;;;;;;;0.1944;;;;;0.2222;;;;1;1;na;;;;0.64;
China;1;4;3;2;3;1;4;7;5;675;;0.864;0;0;1;0;0;;;;;;;;;;;;;;;;;0.364;0.273;0.273;0.182;0.091;;0;;0.136;;;;;;1;;;;;;;;;;;;;;;;1;0.0000;14.3;5.8;22.8;0.6;0.3;0.9;;;159;94;203;13;5;21;126.8;108.2;145.4;;;36;43.5;;;;10.8;94.5;;;;;;;;0.96;;0.364;0;0;;0.364;0.773;0.091;0.773;0.773;;;;0;1;;1;;;;;;;;0.227;;;;;0.227;;;;1;1;;;;;0.55;
China;1;4;3;2;3;1;4;7;5;726;;0.786;0;0;1;0;0;;;;;;;;;;;;;;;;;0.429;0.286;0.429;0.214;0;;0.143;;;;;;;;1;;;;;;;;;;;;;;;;1;0.0000;13.4;9;17.8;0.6;0.3;0.9;;;156;110.3;221.5;12.2;8;16.4;115.5;105;131;;;30.5;29.5;;;;10.3;72;;;;;;;;0.93;;0.143;0;0;;0.143;0.786;0.071;0.857;0.857;;;;0;1;;0;;;;;;;;0.143;;;;;0.214;;;;1;1;;;;;0.79;
Italy;1;4;1;3;1;2;3;7;0;785;;0.706;1;0;0;0;0;;;;;;;;4;;;;;;;;0.988;0.738;0.339;0.301;0.137;0.195;0.037;;0.202;0.037;0.76;;;;0.4;0.73;;;;;;0.08;;;;;;;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.84;0.54;;;;;;;;;;;;;;;;;;;;0.965;;0.965;;;;;;0.104;0.292;0.085;;;1;0.5;0;5;4;;1;1
